col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
153,153,153,255,41,41,41,255,0
31,31,31,255,54,54,54,255,0
33,33,33,255,22,22,22,255,0
32,32,32,255,105,105,105,255,0
80,80,80,255,154,154,154,255,0
33,33,33,255,33,33,33,255,0
37,37,37,255,38,38,38,255,0
47,47,47,255,38,38,38,255,0
34,34,34,255,155,155,155,255,0
64,64,64,255,32,32,32,255,0
32,32,32,255,57,57,57,255,0
31,31,31,255,48,48,48,255,0
33,33,33,255,88,88,88,255,0
50,50,50,255,34,34,34,255,0
32,32,32,255,30,30,30,255,0
38,38,38,255,87,87,87,255,0
36,36,36,255,28,28,28,255,0
51,51,51,255,34,34,34,255,0
59,59,59,255,111,111,111,255,0
51,51,51,255,37,37,37,255,0
40,40,40,255,58,58,58,255,0
51,51,51,255,47,47,47,255,0
112,112,112,255,33,33,33,255,0
133,133,133,255,132,132,132,255,0
31,31,31,255,48,48,48,255,0
63,63,63,255,36,36,36,255,0
41,41,41,255,135,135,135,255,0
33,33,33,255,31,31,31,255,0
37,37,37,255,34,34,34,255,0
31,31,31,255,71,71,71,255,0
73,73,73,255,38,38,38,255,0
72,72,72,255,82,82,82,255,0
32,32,32,255,34,34,34,255,0
31,31,31,255,41,41,41,255,0
103,103,103,255,146,146,146,255,0
42,42,42,255,152,152,152,255,0
107,107,107,255,166,166,166,255,0
36,36,36,255,32,32,32,255,0
38,38,38,255,31,31,31,255,0
158,158,158,255,31,31,31,255,0
34,34,34,255,37,37,37,255,0
35,35,35,255,38,38,38,255,0
57,57,57,255,65,65,65,255,0
65,65,65,255,202,202,202,255,0
45,45,45,255,28,28,28,255,0
33,33,33,255,35,35,35,255,0
29,29,29,255,37,37,37,255,0
42,42,42,255,39,39,39,255,0
